Number,Prediction,Probabilities,Confidence,ActualResult
3707,1,0.9956805493808221,0.49568054938082207,1
5835,0,0.12913722127839644,0.37086277872160356,0
2743,0,0.001810694196939876,0.49818930580306015,0
2487,0,0.00014677764024477252,0.4998532223597552,0
646,0,0.016073019102885867,0.4839269808971141,0
2302,0,0.0017453697837465877,0.49825463021625344,0
6925,1,0.9997697482509055,0.4997697482509055,1
702,0,0.005651101681127365,0.49434889831887263,0
346,0,0.009865192348264794,0.4901348076517352,0
6190,1,0.9974465632618978,0.49744656326189785,1
2410,0,0.0015425998580867423,0.49845740014191325,0
6299,1,0.9997758458821557,0.49977584588215573,1
3421,1,0.9539742345185638,0.4539742345185638,1
72,0,0.013954714074735208,0.4860452859252648,0
612,0,8.095738813242646e-05,0.4999190426118676,0
5636,1,0.9997539959102487,0.4997539959102487,1
7730,1,0.9992977669792866,0.49929776697928663,1
4743,1,0.9998285177113124,0.4998285177113124,1
546,0,0.006496667043531052,0.4935033329564689,0
940,0,0.0010152719629840457,0.49898472803701593,0
6708,1,0.9994983392261148,0.49949833922611475,1
947,0,0.011131573999012068,0.48886842600098795,0
3765,0,0.00570780951653654,0.49429219048346346,0
870,0,0.0011713310709610802,0.49882866892903893,0
1500,0,1.4566443733843038e-05,0.4999854335562662,0
908,1,0.9792139307788665,0.47921393077886654,1
1143,0,7.571769286172589e-05,0.49992428230713826,0
3977,1,0.999949211137828,0.499949211137828,1
6702,1,0.9963650955376738,0.49636509553767383,1
2067,1,0.9834060256394785,0.48340602563947854,1
7174,1,0.999733380013652,0.499733380013652,1
1958,0,0.00012761908040882387,0.4998723809195912,0
2610,0,0.0010513826050891528,0.49894861739491086,0
893,0,0.007606329313181862,0.49239367068681816,0
7999,0,0.0001796748061384636,0.49982032519386155,0
6137,1,0.9970429653281047,0.49704296532810466,1
3132,0,0.0008038506958640934,0.4991961493041359,0
2365,0,0.00015900731659915343,0.4998409926834008,0
5799,1,0.9984434549738306,0.4984434549738306,1
1475,0,1.29609450839117e-05,0.4999870390549161,0
3595,0,0.004586959510633251,0.49541304048936674,0
4688,1,0.9997324163811053,0.4997324163811053,1
5514,0,0.008094186584412584,0.4919058134155874,0
3535,0,0.0009564339168497494,0.49904356608315026,0
2957,0,0.00011669398551079735,0.4998833060144892,0
3195,0,0.001352356977407753,0.49864764302259224,0
2528,0,0.0024204213848508334,0.4975795786151492,0
2850,0,0.0003622220279957183,0.49963777797200426,0
5101,0,0.008715801247169598,0.4912841987528304,0
444,0,0.0014203764556711357,0.4985796235443289,0
4272,1,0.9998900710301103,0.4998900710301103,1
